OBJECTID,Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Appropriate_Location,Suggested_for_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices___Notes,PhotoCredit01,Nurseries,PhotoCredit02,PhotoCredit03,PhotoCredit04
262,Stipa pulchra,Purple Needlegrass,Poaceae,Nassella pulchra,Grass,Spring,Purple;Yellow,1-3 ft,SF Native ,Chaparral;Grassland/prairie;Woodland,Part shade;Sun,Clay;Loam,,None,Nesting,Bees;Birds,Yes,Backyard;Roof,7,NA,Indispensable.,©2013 Clint Scheuerman,Oaktown;Native Here;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2012 Aaron Arthur,©2012 Aaron Arthur,©2013 Lynn Watson
263,Syagrus romanzoffiana,Queen Palm,Arecaceae,,Tree (evergreen),,,> 24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Needs heat, wind protection.","SelecTree. ""Syagrus romanzoffiana Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Syagrus romanzoffiana Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Syagrus romanzoffiana Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Syagrus romanzoffiana Photo Record."" 1995-2012. Jul 8, 2014."
264,Symphoricarpos albus,Common Snowberry,Caprifoliaceae,,Shrub (deciduous),Summer,Pink,1-3 ft,SF Native ,Woodland;Coastal scrub,Shade;Part shade;Sun,All,,Low,Cover;Fruit,Birds;Hummingbirds;Insects,Yes,Backyard;Sidewalk,NA,NA,"Attracts quail, pheasant, and grouse.",©2011 Zoya Akulova  (CC BY-NC 3.0),,©2001 Lynn Overtree,©2006 Tom Greer,©2006 Louis-M. Landry
265,Symphoricarpos mollis,Trailing Snowberry,Caprifoliaceae,,Shrub (deciduous),Spring;Summer,Pink,1-3 ft,SF Native ,Woodland;Coastal scrub,Shade;Part Shade;Sun,Clay;Loam;Sand,,Low,Cover;Fruit;Nectar;Nesting,Bees;Birds;Butterflies,No,Backyard,NA,NA,,©Keir Morse,,©Keir Morse,©Barry Breckling,©2010 Franco Folini (CC BY-SA 2.0)
266,Symphyotrichum chilense,Wild Aster,Asteraceae,Aster chilensis,Perennial,Summer,Pink,1-3 ft,SF Native ,Chaparral;Coastal scrub;Dunes;Grassland/prairie;Riparian;Woodland,Sun,All,,None,Buds/greens;Nectar,Bees;Birds;Butterflies;Insects,No,Backyard;Roof,1;16;6,NA,Attracts Field Crescent (Phyciodes campestris) butterfly.,©2011 Aaron Arthur,,©2011 Steven Perry,©2009 Neal Kramer,©2013 Robert Sikora
267,Tanacetum bipinnatum,Dune Tansy,Asteraceae,Tanacetum camphoratum,Perennial,Fall;Summer,Yellow,1-3 ft,SF Native ,Dunes,Sun,Sand,,None,No data,No data,No,Backyard,13;5,NA,,©2012 Neal Kramer,Oaktown;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;,©2012 Neal Kramer,©2012 Neal Kramer,©1999 René Charest
268,Tellima grandiflora,Fringe Cups,Saxifragaceae,,Perennial,Spring;Summer,Pink;White,1-3 ft,SF Native ,Woodland;Coastal scrub,Part shade;Shade,Loam;Clay,,Low,Cover;Nectar,Birds;Butterflies;Hummingbirds,No,Backyard,NA,NA,"Self-sowing, but not weedy.",©2012 RT Hawke (CC BY-NC 3.0),Oaktown;Native Here;Mission Blue;Bay Natives;East Bay Wilds;,©2008 Steve Matson,©2008 Steve Matson,©2006 George W. Hartwell
269,Tilia cordata,Littleleaf Linden,Malvaceae,,Tree (deciduous),Spring,Yellow,> 24 ft,Exotic,,Sun,,,NA,,Butterflies,No,Sidewalk,NA,2 (B),Slow grower.,"SelecTree. ""Tilia cordata Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Tilia cordata Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tilia cordata Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tilia cordata Photo Record."" 1995-2012. Jul 8, 2014."
270,Trifolium fucatum,Bull Clover,Fabaceae,,Annual,Spring,Red;White,1-3 ft,SF Native ,Coastal scrub;Riparian;Woodland,Sun,Clay;Loam;Sand,,Moderate,No data,Butterflies;Insects,No,Backyard,NA,NA,Wet grower. Attracts Orange Sulphur (Colias eurytheme).,©2009 Neal Kramer,,©2005 Bob Huettmann,©2003 George W. Hartwell,©2008 Zoya Akulova (CC BY-NC 3.0)
271,Trifolium gracilentum,Pinpoint Clover,Fabaceae,,Annual,Spring,"Pink, White, Purple",1-3 ft,SF Native ,Grassland/prairie;Woodland,Sun,Clay;Loam;Sand,,Low,No data,Butterflies;Insects,No,Backyard,NA,NA,Attracts Orange Sulphur (Colias eurytheme).,©2006 Doreen L. Smith,,©2012 Gary A. Monroe  (CC BY-NC 3.0),©2008 Zoya Akulova  (CC BY-NC 3.0),©2008 Zoya Akulova  (CC BY-NC 3.0)
272,Trifolium variegatum,Whitetip Clover,Fabaceae,,Annual,Spring;Summer,"Pink, White, Purple",1-3 ft,SF Native ,Coastal scrub;Riparian;Woodland,Sun,Clay;Loam;Sand,,Low,No data,Butterflies;Insects,No,Backyard,16,NA,Attracts Orange Sulphur (Colias eurytheme).,©2013 Zoya Akulova (CC BY-NC 3.0),,©2013 Jean Pawek,©2003 Steve Matson,©2012 Aaron Schusteff
273,Trifolium willdenovii,Tomcat Clover,Fabaceae,,Annual,Spring,"Pink, White, Purple",1-3 ft,SF Native ,Chaparral;Grassland/prairie;Woodland,Part shade;Sun,Clay;Loam,,None,Nectar,Bees;Birds;Butterflies,No,Backyard,NA,NA,Attracts Orange Sulphur (Colias eurytheme) and Bay Checkerspot butterflies.,©2003 Dianne Fristrom (CC BY-SA 3.0),,©2009 Neal Kramer,©2003 Dianne Fristrom (CC BY-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
274,Trifolium wormskioldii,Cow Clover,Fabaceae,,Perennial,Spring,Pink,< 1 ft,SF Native ,Chaparral;Grassland/prairie;Riparian;Wetland;Woodland,Part shade;Sun,Clay;Loam;Sand,,Moderate,No data,No data,No,Backyard,NA,NA,Wet grower.,©2002 Tom Annese,,©2009 Dr. Mark S. Brunell,Sherry Ballard © California Academy of Sciences,Charles Webber © California Academy of Sciences
275,Tristaniopsis laurina,Water Gum,Myrtaceae,Tristania laurina,Tree (evergreen),Spring,Yellos,13-24 ft,Exotic,,Sun,Clay;Loam;Sand,,None,,,Yes,Sidewalk,NA,1 (A),,"SelecTree. ""Tristaniopsis laurina Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Tristaniopsis laurina Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina Photo Record."" 1995-2012. Jul 8, 2014."
276,Tristaniopsis laurina  'Elegant',Elegant Brisbane Box,Myrtaceae,,Tree (evergreen),Spring:Summer,Yellow,13-24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Foremerly know as Tristania laurina ‘Elegant’; grows slowly, irregular form, mod-high maintenance.","SelecTree. ""Tristaniopsis laurina 'Elegant' Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Tristaniopsis laurina 'Elegant' Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina 'Elegant' Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Tristaniopsis laurina 'Elegant' Photo Record."" 1995-2012. Jul 8, 2014."
277,Typha domingensis,Southern Cattail,Typhaceae,,Perennial,Spring;Summer,Brown,7-12 ft,SF Native ,Riparian;Wetland,Sun,Clay;Loam;Sand,,Moderate,Cover;Nesting,Birds,No,Backyard,10,NA,"Wet grower, fresh water, travels and can be a maintenance problem very easily. Attracts Red-Wing Black bird.","© Br. Alfred Brousseau, Saint Mary's College",,©2009 Neal Kramer,©2012 Aaron Arthur,©2010 lara hartley
278,Typha latifolia,Broadleaf Cattail,Typhaceae,,Perennial,Spring,Brown;Yellow,7-12 ft,SF Native ,Riparian;Wetland,Sun,Clay;Loam;Sand,,Moderate,Cover;Nesting,Birds,yes,Backyard,10,NA,"Wet grower, fresh water, travels and can be a maintenance problem very easily.",©2003 George W. Hartwell,,"© Br. Alfred Brousseau, Saint Mary's College",Gerald and Buff Corsi © California Academy of Sciences,©2009 Barry Rice (CC BY-NC-SA 3.0)
279,"Ulmus parvifolia 'Drake', 'Sempervirens'",Drake/Sempervirens Chinese Elm,Ulmaceae,,Tree (deciduous),,,> 24 ft,Exotic,Exotic,Sun,,,Low,,"Butterflies, Birds",No,Sidewalk,NA,1 (A),"Fast grower, which initially requires higher maintenance.","SelecTree. ""Ulmus parvifolia Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Ulmus parvifolia Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Ulmus parvifolia Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Ulmus parvifolia Photo Record."" 1995-2012. Jul 8, 2014."
280,Urtica dioica ssp. gracilis,Stinging Nettle,Urticaceae,,Perennial,Spring;Summer,Green;White,4-6 ft,SF Native ,Riparian;Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Buds/greens,Butterflies;Insects,No,Backyard,NA,NA,"Attracts Red Admiral (Vanessa atalanta), Satyr Anglewing (Polygonia satyrus), and West Coast Lady (Vanessa annabella).","© Br. Alfred Brousseau, Saint Mary's College",,Toni Corelli (CC BY-NC 2.0),Toni Corelli (CC BY-NC 2.0),Photo by Pancrazio Campagna
281,Urtica dioica ssp. holosericea,Hoary Nettle,Urticaceae,,Perennial,Summer,Yellow,4-6 ft,SF Native ,Riparian;Wetland,Sun,Clay;Loam;Sand,,Low,Buds/greens,Butterflies;Insects,No,Backyard,NA,NA,"Attracts Red Admiral (Vanessa atalanta), Satyr Anglewing (Polygonia satyrus), West Coast Lady (Vanessa annabella).",©2013 Neal Kramer,,"© Br. Alfred Brousseau, Saint Mary's College",©2007 Dr. Mark S. Brunell,"© Br. Alfred Brousseau, Saint Mary's College"
282,Vaccinium ovatum,Huckleberry,Ericaceae,,Shrub (evergreen),Spring;Winter,White,7-12 ft,SF Native ,Woodland;Coastal scrub,Shade;Part shade;Sun,Clay,,Low,Fruit;Nectar;Nesting,Bees;Birds;Butterflies,Yes,Backyard,NA,NA,,©2007 Neal Kramer,,©2009 Keir Morse (CC BY-NC-SA 3.0),©2011 Zoya Akulova (CC BY-NC 3.0),©2013 Terry Gosliner (CC BY-NC 3.0)
283,Verbena bonariensis,Purpletop Vervain,Verbenaceae,,Annual,Spring,Purple,4-6 ft,Exotic,Riparian,Part shade;Sun,Loam,,Low,Nectar,Bees;Butterflies;Hummingbirds,No,Backyard,NA,NA,Attracts Mournful Duskywing (Erynnis tristis).,©2008 Jorg Fleige  (CC BY-NC 3.0),,©2012 Jean Pawek,"© Br. Alfred Brousseau, Saint Mary's College",©2012 Jean Pawek
284,Verbena lasiostachys,Western Vervain,Verbenaceae,,Perennial,Spring;Summer,Purple,1-3 ft,CA Native,Riparian;Woodland,Part shade;Sun,All,,Low,Nectar,Bees;Birds;Butterflies;Insects,No,Backyard,NA,NA,Attracts Mournful Duskywing (Erynnis tristis).,©2008 Keir Morse  (CC BY-NC-SA 3.0),,©2008 Keir Morse  (CC BY-NC-SA 3.0),©2008 Keir Morse  (CC BY-NC-SA 3.0),©2011 Michael O'Brien
285,Vitis californica,California Wild Grape,Vitaceae,,Vine,Spring,Red,> 24 ft,CA Native,Riparian;Woodland,Part shade;Sun,All,,Low,Cover;Fruit,Bees;Birds;Butterflies;Insects,Yes,Backyard;Roof,11;12,NA,Plant east of Twin Peaks – needs warmth. Attracts Cedar Waxwing and Western Fence Lizard.,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,,©2013 Zoya Akulova (CC BY-NC 3.0),J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,©2013 Jean Pawek
286,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,Tree (evergreen),,,> 24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Prefers some warmth, full sun","SelecTree. ""Washingtonia robusta Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Washingtonia robusta Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Washingtonia robusta Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Washingtonia robusta Photo Record."" 1995-2012. Jul 8, 2014."
287,Wyethia angustifolia,Narrowleaf Mule Ears,Asteraceae,,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native ,Chaparral;Grassland/prairie;Woodland,Part shade;Sun,Clay;Loam,,None,Nectar,Bees;Butterflies,No,Backyard,NA,NA,Attracts endangered Fender’s Blue Butterfly.,©2004 Carol W. Witham,Oaktown;Native Here;Mission Blue;Candlestick;Bay Natives;East Bay Wilds,©2011 Hattie Brown,"© Br. Alfred Brousseau, Saint Mary's College",©2009 Zoya Akulova (CC BY-NC 3.0)
288,Zeltnera venusta,Centaury,Gentianaceae,Centaurium venustum,Annual,Fall;Spring;Summer,Purple,1-3 ft,CA Native,Chaparral,Part shade;Sun,Loam;Clay,,None,Fruit,Birds,No,Backyard,NA,NA,,©2001 George W. Hartwell,,©2003 Charles E. Jones,©2005 Charles E. Jones,©2010 Neal Kramer
289,Agrostis pallens,Bentgrass,Poaceae,,Grass,Spring;,,1-3 ft,SF Native,Chaparral; Grassland/prairie; Woodland; Coastal scrub,Part shade;Sun,Clay;Loam,,Low,,Birds;Butterflies,Yes,Backyard; Roof,NA,NA,,©2012 Vernon Smith,,©2012 Vernon Smith,©2008 Keir Morse,©2008 Keir Morse
290,Artemisia douglasiana,Mugwort,Asteraceae,,Perennial,Summer;Fall,White,1-3 ft,SF Native,Chaparral; Woodland; Riparian; Coastal scrub; Wetland,Part shade;Sun,Clay;Loam,,Low,,Birds;Butterflies,Yes,Backyard,NA,NA,,©2008 Keir Morse,,©2008 Keir Morse,©2008 Keir Morse,©2014 Richard Spellenberg
291,Carex barbarae,Santa Barbara sedge,Cyperaceae,,Grass,Summer,,1-3 ft,CA Native, Grassland/prairie; Woodland; Coastal scrub; Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,,Birds;Butterflies,Yes,Backyard,NA,NA,Good ground cover,©2012 Jake Ruygt,,©2013 Robert Steers/NPS,©2012 Jake Ruygt,©2012 Jake Ruygt
292,Carpenteria californica,Bush Anemone,Hydrangeaceae,,Shrub (evergreen),Summer,White,4-6 ft,CA Native,,Part shade;Sun,Loam;Sand,,Moderate,"Nectar,Cover",Bees:Birds;Butterflies;insects,Yes,Sidewalk,NA,NA,CNPS Rare Plant; State listed as Threatened,©2007 Julie Kierstead Nelson,,©2007 Julie Kierstead Nelson,©1999 California Academy of Sciences,©1998 Christopher L. Christie
293,Cercocarpus betuloides,Mountain mahogany,Rosaceae,,Shrub (evergreen),Spring,Yellow,7-12 ft,CA Native,Chaparral;Woodland,Sun,Loam;Sand;Clay,,None,Cover,"Bees,Butterflies;Hummingbirds",Yes,Backyard,NA,NA,,©1999 California Academy of Sciences,,©1999 California Academy of Sciences,©2001 Carol Mattsson,©2002 Lynn Watson
294,Clematis lasiantha,Pipestems; Chaparral clematis,Ranunculaceae,,Vine,Spring,White,13-24 ft,CA Native,Riparian;Woodland,Part shade; Sun,Clay;Loam,,Low,Cover,Birds;Butterflies,Yes,Backyard,NA,NA,, ©1999 California Academy of Sciences,,©1999 California Academy,©2003 Lynn Watson,©1995 Saint Mary's College of California
295,Dicentra formosa,Pacific bleeding heart,Papaveraceae,,Perennial,Spring,Pink,< 1 ft,CA Native,Riparian;Woodland,Part shade;Shade,Clay;Loam,,Moderate,Nectar,Birds;Butterflies,Yes,Backyard,NA,NA,Good ground cover,©2005 Steve Matson,,©2003 Christopher L. Christie,©2003 Christopher L. Christie,©1995 Saint Mary's College of California
296,Equisetum hyemale,Scouring Rush Horsetail,Equisetaceae,,Perennial,Spring,,1-3 ft,SF Native,Wetland; Riparian; Woodland,Part shade;Shade,Clay;Loam;Sand,,Moderate,,,Yes,Backyard,NA,NA,Prefers moist soils,©2010 Hans J. Koch,,©2006 Louis-M. Landry,©2008 Dr. Amadej Trnkoczy,©2007 Louis-M. Landry
297,Gaultheria shallon,Salal,Ericaceae,,Shrub (evergreen),Spring,White;Pink,1-3 ft,SF Native,Wetland;Coastal scrub;Woodland,Part shade;Shade,Clay;Loam,,Low,Fruit,Birds;Butterflies,Yes,Backyard,NA,NA,,©2001 California Academy of Sciences,,©1999 California Academy of Sciences,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California
298,Juglans hindsii,California black walnut,Juglandaceae,,Tree (deciduous),Spring,,> 24 ft,CA Native,Riparian;Woodland,Sun,Clay;Loam,,Low,Cover;Nesting,Birds,Yes,Backyard,NA,NA,,©2013 Steve Matson,,©2011 Vernon Smith,©2015 Susan McDougall,©2015 Susan McDougall
299,Juncus patens,Spreading rush,Juncaceae,,Grass,Spring,Yellow,1-3 ft,SF Native,Riparian;Coastal scrub;Wetland,Sun;Part shade,Clay;Loam;Sand,,Low,,Birds,Yes,Sidewalk,NA,NA,,©2008 Neal Kramer,,©2013 Robert Steers/NPS,©2007 Neal Kramer,©2014 Mike Wood
300,Melica imperfecta,Coast range melic,Poaceae,,Grass,Spring;Winter,,1-3 ft,SF Native,Chaparral;Coastal scrub;Woodland,Sun;Part shade,Clay;Loam;Sand,,None,,,Yes,Backyard;Roof,NA,NA,,©2009 Keir Morse,,©2009 Keir Morse,©2009 Keir Morse,©2009 Keir Morse
301,Mimulus cardinalis,Scarlet monkeyflower,Phrymaceae,,Perennial,Spring;Summer,Red,1-3 ft,CA Native,Wetland;Riparian,Sun;Part shade,Clay;Loam,,Moderate,Nectar,Hummingbirds;Butterflies,Yes,Backyard,3,NA,,©2002 Lynn Watson,,©2001 Steve Schoenig,©2001 Steve Schoenig,©2003 George W. Hartwell
302,Mimulus guttatus,Creek monkeyflower,Phrymaceae,,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native,Riparian;Wetland,Sun; part shade; shade,Clay;Loam,,Moderate,Nectar,Hummingbirds;Butterflies,Yes,Backyard,3,NA,Long blooming period,©1995 Saint Mary's College of California,,©2001 George W. Hartwell,©1995 Saint Mary's College of California,©2005 Jim Dunn
303,Oxalis oregana,Redwood sorrel,Oxalidaceae,,Perennial,Spring,Purple,1-3 ft,CA Native,Woodland,Shade,Loam;Clay,,Low,Nectar,Bees;Butterflies,Yes,Backyard,NA,NA,Great understory ground cover,©1995 Saint Mary's College of California,,©2001 California Academy of Sciences,©1999 California Academy of Sciences,©2003 James B. Gratiot
304,Panicum virgatum,Switchgrass,Poaceae,,Grass,Summer;Fall;Winter,,4-6 ft,CA Native,,Part shade,Clay;Loam;Sand,,Moderate,,Birds,Yes,,NA,NA,Seeds are good food source in winter,©2010 Louis-M. Landry,,©2010 Louis-M. Landry,© 2005 Brad Wold,© 2005 Brad Wold
305,Philadelphus lewisii,Native mock orange,Hydrangeaceae,,Shrub (deciduous),Spring;Summer,White,7-12 ft,CA Native,Woodland,Sun;Part shade,Clay;Loam,,Low,Cover;Nectar,Bees;Birds;Butterflies,Yes,Backyard,NA,NA,,©1999 California Academy of Sciences,,©2003 Christopher L. Christie,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California
306,Physocarpus capitatus,Pacific ninebark,Rosaceae,,Shrub (deciduous),Spring;Summer,White,7-12 ft,CA Native,Riparian;Woodland,Sun;Part shade; Shade,Clay;Loam,,Low,Cover,Birds,Yes,Backyard,NA,NA,,©2006 Matt Below,,©1998 California Academy of Sciences,©1999 California Academy of Sciences,©2005 John Pelafigue
307,Prosartes hookeri,Hooker's fairy bells,Liliaceae,,Perennial,Spring;Summer,White,1-3 ft,SF Native,Woodland;,Part shade;Shade,Clay;Loam,,Low,,,Yes,Backyard,NA,NA,,©Margo Bors,,©2008 Steve Matson,©2008 Jorg Fleige,©Margo Bors 
308,Quercus lobata,Valley oak,Fagaceae,,Tree (deciduous),Spring;Winter,,> 24 ft,CA Native,Riparian;Woodland,Sun,Clay;Loam,,Low,Cover,Hummingbirds;Butterflies,Yes,Backyard,NA,NA,,©1995 Saint Mary's College of California,,©1995 Saint Mary's College of California,©2002 Timothy D. Ives, ©1999 California Academy of Sciences
309,Ribes menziesii,Canyon gooseberry,Grossulariaceae,,Shrub (deciduous),Spring;Winter,White,4-6 ft,CA Native,Chaparral;Woodland,Sun;Part shade,Clay;Loam,,None,Cover;Nectar,Hummingbirds;Bees;Butterflies,Yes,Backyard,3;20,NA,,©2006 Steve Matson,,©2012 Jean Pawek,©2012 Jean Pawek,©2013 Jean Pawek
310,Ribes speciosum,Fuchsia-flowered gooseberry,Grossulariaceae,,Shrub (evergreen),Spring;Winter,Red,4-6 ft,CA Native,Chaparral,Sun;Part shade,Clay;Loam,,None,Fruit;Cover;Nectar,Bees;Birds;Small mammals,Yes,Backyard,3;20,NA,,©2004 Christopher L. Christie,,©2004 Christopher L. Christie,©2005 Michael W. Tuma,©2004 Christopher L. Christie
311,Salix laevigata,Red willow,Salicaceae,,Tree (deciduous),Spring,,> 24 ft,CA Native,Riparian;Wetland,Sun;Part shade,Clay;Loam,,Moderate,Cover,Bees;Birds;Butterflies,Yes,Backyard,NA,NA,,©1995 Saint Mary's College of California,,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California
312,Sisyrinchium californicum,Yellow-eyed grass,Iridaceae,,Perennial,Spring;Summer,Yellow,> 1 ft,SF Native,Riparian; Wetland,Sun;Part shade,Clay;Loam,,Moderate,Nectar,"Hummingbirds,Butterflies",Yes,Backyard,NA,NA,prefers moist conditions,©2001 California Academy of Sciences,,©1999 California Academy of Sciences,©2000 California Academy of Sciences,©1995 Saint Mary's College of California
313,Solanum umbelliferum,Nightshade,Solanaceae,,Perennial,Spring;Summer;Winter,Purple,1-3 ft,SF Native,Chaparral;Coastal Scrub;Woodland,Sun;Part shade,Clay;Loam,,None,Fruit;Nectar,Bees;Birds;Butterflies,Yes,Backyard,NA,NA,,©2007 Neal Kramer,,©2008 Ellen Tatum,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California
314,Stipa lepida,Foothill needlegrass,Poaceae,,Grass,Spring,,1-3 ft,SF Native,Chaparral;Coastal Scrub;Grassland/prairie,Sun,Clay;Loam,,None,,Butterflies,Yes,Backyard;Roof,NA,NA,Good ground cover,©2013 Belinda Lo,,©2011 Vernon Smith,©2009 Tom Cochrane,©2013 Belinda Lo
315,Umbellularia californica,California bay laurel,Lauraceae,,Tree (evergreen),Spring,Yellow,> 24 ft,SF Native,Chaparral;Woodland,Sun;Part shade;Shade,Clay;Loam,,None,Fruit;Cover,Birds,Yes,Backyard,NA,NA,Attracts small mammals,©2003 Michael Charters,,©1999 California Academy of Sciences,©2001 Tony Morosco,©1999 California Academy of Sciences
316,Rosmarinus officinalis,Rosemary,Lamiaceae,,Shrub (evergreen),Spring;Summer,Blue,1-3 ft,Exotic,,Sun,Clay;Loam,,None,Nectar,Bees;Butterflies,No,Sidewalk;Backyard,NA,NA,Good ground cover,©2004 Steve Matson,,©2005 Luigi Rignanese,©2009 Neal Kramer,©2005 Luigi Rignanese
317,Arabis blepharophylla,Rock rose cress,Brassicaceae,,Perennial,Spring,Purple;Pink,7-12 ft,SF Native,Coastal scrub,Part shade,Clay;Loam,,Low,Nectar;Cover,Butterflies,No,Sidewalk;Roof,NA,NA,Does well in a rock garden,©1995 Saint Mary's College of California,,©1996 Margo Bors,©2009 Larry Beckerman,©2008 Margo Bors
318,Triteleia laxa,Ithuriel's Spear,Themidaceae,,Perennial,"Spring,Summer",Purple,1-3 ft,SF Native,Chaparral; Woodland;Grassland/prairie,Sun;Part shade,Clay;Loam,,None,Nectar,Bees; Butterflies,No,Sidewalk;Roof;Backyard,NA,NA,,©2003 George W. Hartwell,,©1995 Saint Mary's College of California,©1999 California Academy of Sciences,©1995 Saint Mary's College of California
319,Carex tumulicola,Berkley sedge,Cyperaceae,,Grass,Spring,,1-3 ft,SF Native,Woodland;Grassland/prairie;Coastal scrub,Part shade,Clay;Loam,,Low,,Birds,Yes,Sidewalk;Backyard,NA,NA,, ©2002 Dean Wm. Taylor,,©2015 Aaron Arthur,©2009 Chris Wagner,©2003 Steve Matson
320,Ceanothus gloriosus,Point Reyes Ceanothus,Rhamnaceae,,Shrub (evergreen),Spring;Winter,Blue;Purple,1-3 ft,CA Native,Chaparral;Coastal scrub;Woodland,Sun;Part shade,Clay;Loam;Sand,,None,Nectar,Humminbirds;Bees;Butterflies;Bees,Yes,Sidewalk;Backyard,4,NA,,©2011 Thomas Reyes,,©2006 Doreen L. Smith,©2012 Aaron Arthur,©2008 Jorg Fleige
321,Cynoglossum grande,Hound's Tongue,Boraginaceae,,Perennial,Spring,Blue;Purple,1-3 ft,SF Native,Woodland;Chaparral;Coastal scrub,Part shade;Shade,Clay;Loam,,Low,Nectar,"Bees, Butterflies, Birds",No,Sidewalk;Backyard,NA,NA,,©2003 Russell Towle,,©1995 Saint Mary's College of California,©2002 Lindsay Herrera,©2002 George Jackson
322,Eriogonum fasciculatum,California Buckwheat,Polygonaceae,,Shrub (evergreen),Summer;Spring;Fall,Pink;White,1-3 ft,CA Native,Coastal scrub;Grassland;Woodland,Sun,Clay;Loam;Sand,,None,Nectar,"Butterflies;Bees,Birds",Yes,Sidewalk;Backyard,20,NA,,©2002 Lynn Watson,,©2002 Lynn Watson,©2002 Hartmut Wisch,©2005 California Academy of Sciences
323,Eriogonum giganteum,California Buckwheat;St. Catherine's Lace?,Polygonaceae,,Shrub (evergreen),Summer;Spring,White;Red,4-6 ft,CA Native,Chaparral;Coastal scrub,Sun,Clay;Loam;Sand,,None,Nectar,Butterflies; Bees,Yes,Sidewalk;Backyard,20,NA,,©2010 Gary A. Monroe,,©2003 Michael Charters,©2009 Aaron Arthur,©2010 Gary A. Monroe
324,Eriogonum umbellatum,Sulphurflower buckwheat,Polygonaceae,,Perennial,Summer,Yellow,1-3 ft,CA Native,Chaparral,Sun,Clay;Loam;Sand,,None,Nectar,Butterflies;Bees;Birds,No,Sidewalk;Backyard,20,NA,,©1995 Saint Mary's College of California,,©2003 Christopher L. Christie,©2003 Christopher L. Christie,©2005 California Academy of Sciences
325,Juncus effusus,Common rush,Juncaceae,,Grass,Summer,,1-3 ft,SF Native,Riparian;Wetland;Woodland,Sun;Part shade,Clay;Loam,,Moderate,,,No,Sidewalk;Backyard,NA,NA,Shelter for birds,©2010 Louis-M. Landry,,©2008 Dr. Amadej Trnkoczy,©2008 Dr. Amadej Trnkoczy,©2007 Louis-M. Landry
326,Lathyrus vestitus,Wild Pea,Fabaceae,,Vine,Spring,Magenta;Purple,7-12 ft,SF Native,Chaparral;Woodland;Coastal scrub,Part shade;Sun,Clay;Sand,,Low,Nectar,Birds;Hummingbirds;Butterflies,No,Sidewalk;Backyard;Roof,NA,NA,Climbing,©1995 Saint Mary's College of California,,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,©2002 Lynn Watson
327,Leptosiphon grandiflorus,Large-flower linanthus,Polemoniaceae,,Annual,Spring,Pink;White,>1 ft,CA Native,Coastal scrub;Woodland;Grassland/prairie,Sun,Clay;Sand,,None,,,No,Sidewalk;Backyard;Roof,NA,NA,CNPS Rare Plant,©2013 John Doyen,,©2009 Barry Breckling,©1995 Saint Mary's College of California, ©2003 Doreen L. Smith
